State,County,TotalPopulation,LowAccess_1MUrban_10MRural,LowAccess_HalfUrban_10MRural,LowAccess_HalfUrban_10MRural,LowAccess_LowInc_1MUrban_10MRural,LowAccess_LowInc_HalfUrban_10MRural,LowAccess_LowInc_1MUrban_20MRural,LowAccessTotal_HalfM,LowAccess_LowIncTotal_HalfM,LowAccessWhite_HalfM,LowAccessBlack_HalfM,LowAccessAsian_HalfM,LowAccessNHPI_HalfM,LowAccessNAAN_HalfM,LowAccessOther_HalfM,LowAccessHispLatam_HalfM,LowAccessSNAP_HalfM,LowAccessWhite_1M,LowAccessBlack_1M,LowAccessAsian_1M,LowAccessNHPI_1M,LowAccessNAAN_1M,LowAccessOther_1M,LowAccessHispLatam_1M,LowAccessSNAP_1M,LowAccessWhite_10M,LowAccessBlack_10M,LowAccessAsian_10M,LowAccessNHPI_10M,LowAccessNAAN_10M,LowAccessOther_10M,LowAccessHispLatam_10M,LowAccessSNAP_10M,TotalPopulationWhite,TotalPopulationBlack,TotalPopulationAsian,TotalPopulationNHPI,TotalPopulationNAAN,TotalPopulationOther,TotalPopulationHispanicLatam,TotalPopulationSnapBenefits,,
Alabama,Autauga County," 54,571 "," 9,252 "," 14,721 "," 6,692 "," 3,553 "," 5,149 "," 2,400 "," 24,749 "," 7,759 "," 19,350 "," 4,494 ", 187 , 11 , 108 , 600 , 583 ," 1,169 "," 14,431 "," 3,648 ", 88 , 8 , 86 , 451 , 400 , 914 ," 1,476 "," 1,027 ", 4 , -   , 22 , 88 , 66 , 314 ," 42,855 "," 9,643 ", 474 , 32 , 78 , 157 , 548 ," 1,345 ",,
Alabama,Baldwin County," 182,265 "," 22,895 "," 35,823 "," 21,740 "," 7,233 "," 11,072 "," 6,810 "," 82,810 "," 24,058 "," 71,268 "," 7,478 ", 578 , 41 , 566 ," 2,879 "," 3,659 "," 2,516 "," 57,647 "," 5,311 ", 403 , 25 , 486 ," 2,348 "," 2,848 "," 2,015 ", 925 , 192 , 4 , -   , 36 , 34 , 17 , 77 ," 156,153 "," 17,105 "," 1,348 ", 89 , 379 , 757 ," 2,650 "," 2,893 ",,
Alabama,Barbour County," 27,457 "," 2,817 "," 4,281 ", 496 ," 1,432 "," 2,227 ", 212 ," 11,881 "," 5,950 "," 5,915 "," 5,337 ", 37 , 14 , 54 , 523 , 636 ," 1,118 "," 4,900 "," 4,068 ", 33 , 6 , 51 , 445 , 522 , 824 , 971 ," 1,138 ", 10 , 3 , 12 , 400 , 426 , 390 ," 13,180 "," 12,875 ", 107 , 29 , 63 , 127 , 443 ," 1,286 ",,
Alabama,Bibb County," 22,915 ", 183 , 183 , -   , 51 , 51 , -   ," 10,495 "," 4,174 "," 8,081 "," 2,181 ", 11 , 7 , 30 , 185 , 189 , 436 ," 7,252 "," 1,347 ", 8 , 3 , 26 , 144 , 134 , 356 , 174 , 5 , 2 , -   , 1 , 3 , 3 , 17 ," 17,381 "," 5,047 ", 22 , 13 , 23 , 45 , 158 , 501 ,,
Alabama,Blount County," 57,322 "," 1,951 "," 2,716 "," 1,951 ", 720 ," 1,019 ", 720 ," 27,466 "," 9,904 "," 25,484 ", 358 , 53 , 19 , 148 ," 1,405 "," 2,131 ", 981 ," 23,750 ", 272 , 40 , 18 , 136 ," 1,208 "," 1,801 ", 902 , -   , -   , -   , -   , -   , -   , -   , -   ," 53,068 ", 761 , 117 , 38 , 167 , 334 ," 1,168 "," 1,128 ",,
Alabama,Bullock County," 10,914 "," 3,740 "," 4,419 "," 2,449 "," 1,765 "," 2,104 "," 1,132 "," 5,034 "," 2,338 "," 1,130 "," 3,581 ", 4 , 21 , 10 , 287 , 332 , 440 ," 1,090 "," 2,967 ", 2 , 21 , 9 , 265 , 307 , 350 , 468 , 804 , 1 , -   , 8 , 31 , 20 , 233 ," 2,507 "," 7,666 ", 20 , 43 , 34 , 68 , 237 , 506 ,,
Alabama,Butler County," 20,947 "," 1,254 ",, 587 , 725 ," 1,215 ", 446 ," 9,033 "," 4,324 "," 5,075 "," 3,758 ", 73 , 3 , 29 , 93 , 89 , 691 ," 4,153 "," 2,233 ", 55 , 1 , 27 , 63 , 49 , 479 , 373 , 283 , 5 , -   , 7 , 12 , 11 , 89 ," 11,399 "," 9,095 ", 177 , 7 , 13 , 27 , 94 , 795 ,,
Alabama,Calhoun County," 118,572 "," 21,288 "," 34,680 "," 21,288 "," 9,129 "," 15,861 "," 9,129 "," 51,583 "," 21,166 "," 39,276 "," 10,137 ", 354 , 44 , 229 ," 1,543 "," 1,539 "," 3,655 "," 29,577 "," 5,543 ", 221 , 32 , 164 , 969 , 935 ," 2,367 ", -   , -   , -   , -   , -   , -   , -   , -   ," 88,840 "," 24,382 ", 845 , 96 , 220 , 441 ," 1,543 "," 4,203 ",,
Alabama,Chambers County," 34,215 "," 3,373 "," 5,426 "," 3,033 "," 1,386 "," 2,452 "," 1,240 "," 14,456 "," 6,440 "," 8,677 "," 5,439 ", 76 , 1 , 31 , 233 , 205 , 861 ," 6,949 "," 3,690 ", 72 , 0 , 27 , 144 , 133 , 612 , 245 , 88 , 1 , -   , 3 , 10 , 14 , 50 ," 20,112 "," 13,257 ", 168 , 10 , 33 , 67 , 234 , 990 ,,
Alabama,Cherokee County," 25,989 "," 1,753 "," 1,988 "," 1,708 ", 651 , 725 , 633 ," 12,602 "," 5,171 "," 11,732 ", 532 , 25 , 1 , 66 , 247 , 156 , 820 ," 11,278 ", 441 , 23 , 1 , 65 , 232 , 151 , 780 , 44 , 1 , 0 , -   , 0 , 1 , 1 , 5 ," 24,081 "," 1,208 ", 54 , 1 , 32 , 65 , 226 , 943 ,,
