State,County_State,LowAccess_1MUrban_10MRural,LowAccessHispLatam_10M,LowAccessOther_10M,LowAccessNAAN_10M,LowAccessNHPI_10M,LowAccessAsian_10M,LowAccessBlack_10M
Arizona,"Maricopa County, Arizona",397474,,,,,,
Arizona,"Maricopa County, Arizona",,8656,,,,,
Arizona,"Pinal County, Arizona",,8084,,,,,
Arizona,"Pima County, Arizona",,5268,,,,,
Arizona,"Maricopa County, Arizona",,,5666,,,,
Arizona,"Pinal County, Arizona",,,4263,,,,
Arizona,"Pima County, Arizona",,,2688,,,,
Arizona,"Apache County, Arizona",,,,30173,,,
Arizona,"Navajo County, Arizona",,,,24519,,,
Arizona,"Coconino County, Arizona",,,,13349,,,
Arizona,"Pima County, Arizona",,,,6951,,,
Arizona,"Graham County, Arizona",,,,2153,,,
Arizona,"Mohave County, Arizona",,,,,51,,
Arizona,"Maricopa County, Arizona",,,,,42,,
Arizona,"Coconino County, Arizona",,,,,,249,
Arizona,"Maricopa County, Arizona",,,,,,148,
Arizona,"Maricopa County, Arizona",,,,,,,497
California,"Los Angeles County, California",320670,,,,,,
California,"Riverside County, California",268027,,,,,,
California,"San Bernardino County, California",250902,,,,,,
California,"San Diego County, California",231023,,,,,,
California,"Kern County, California",,9573,,,,,
California,"Imperial County, California",,6334,,,,,
California,"Kern County, California",,,5181,,,,
California,"San Bernardino County, California",,,3430,,,,
California,"San Bernardino County, California",,,,,164,,
California,"Kern County, California",,,,,76,,
California,"Lassen County, California",,,,,36,,
California,"Kern County, California",,,,,,705,
California,"San Bernardino County, California",,,,,,524,
California,"Yolo County, California",,,,,,169,
California,"Kern County, California",,,,,,,1329
California,"Riverside County, California",,,,,,,1010
California,"Imperial County, California",,,,,,,845
California,"San Bernardino County, California",,,,,,,679
